labels,data
1717.a.1717.1,"[[0, 1, 2, 3, 2, 1], [0, 1]]"
1717.a.1717.2,"[[0, 1, 16, 24, 9, 1], [0, 1]]"
1717.b.1717.1,"[[0, -1, -2, -2, -1], [0, 1, 0, 1]]"
1718.a.3436.1,"[[0, 1, 2, 0, 0, 1], [1, 1]]"
1721.a.1721.1,"[[0, -1, 1], [1, 0, 0, 1]]"
1728.a.27648.1,"[[0, 0, 0, -1, -3, 0, 3], [1, 1]]"
1738.a.137302.1,"[[-41, -101, -66, -5, 0, 1], [0, 1]]"
1740.a.104400.1,"[[0, 30, -5, -14, 0, 2], [0, 1, 1]]"
1743.a.597849.1,"[[-1, 1, -1, 3, 3, 2, 3], [1, 1, 1]]"
1744.a.1744.1,"[[0, 1, 0, 1], [0, 1, 0, 1]]"
1746.a.10476.1,"[[0, -1, 0, 0, 2, 1, 1], [1, 1, 1]]"
1753.a.1753.1,"[[0, 0, 1], [1, 0, 0, 1]]"
1757.a.1757.1,"[[0, 0, 1, 1], [1, 1, 1, 1]]"
1770.a.26550.1,"[[3, 7, 0, -7, 0, 3], [0, 1, 1]]"
1776.a.7104.1,"[[12, 14, 15, 8, 4, 1], [0, 0, 0, 1]]"
1776.b.191808.1,"[[0, 0, -1, 0, 1, 2], [1]]"
1777.a.1777.1,"[[-8, -1, 7, 0, -3], [1, 1, 0, 1]]"
1788.a.14304.1,"[[0, -1, 0, 0, 2, 1], [1, 0, 0, 1]]"
1791.a.5373.1,"[[0, 0, -1, 2, 6, 3], [1]]"
1795.a.224375.1,"[[-23, 6, -23, 3, -8, 0, -1], [0, 1, 1, 1]]"
1797.a.5391.1,"[[0, 0, 1, 2, -4, 1], [1, 1, 1]]"
1798.a.3596.1,"[[1, 1, 4, 2, 4, 1], [0, 1, 1]]"
1811.a.1811.1,"[[0, -1, 0, 1, -1], [1, 0, 0, 1]]"
1811.b.1811.1,"[[2, -1, -3, -1, 1, 1], [0, 0, 0, 1]]"
1813.a.1813.1,"[[0, 1, 1, 2, 1, 1], [1]]"
1832.a.3664.1,"[[0, 1, -3, -1, 4, 2], [0, 1]]"
1832.b.3664.1,"[[-1, 4, 0, -15, 11, 1], [1, 0, 1]]"
1832.b.14656.1,"[[0, 0, -2, -4, 0, 2], [1, 1]]"
1835.a.1835.1,"[[0, -2, 5, -4, 0, 1], [1]]"
1835.b.1835.1,"[[-2, -1, 4, 0, -2], [0, 0, 0, 1]]"
1844.a.3688.1,"[[0, -1, -1, 1, 1], [1, 0, 1, 1]]"
1844.b.29504.1,"[[0, 1, 0, -5, 2, -1], [1, 1, 1]]"
1844.c.118016.1,"[[-8, 27, -31, 8, 0, 2], [1, 1, 1]]"
1848.a.99792.1,"[[-1, 0, -2, -1, 0, -2], [1, 1]]"
1854.a.11124.1,"[[1, 1, -2, -2], [0, 1, 1, 1]]"
1861.a.1861.1,"[[0, 0, -1, 1, -1], [1, 1, 0, 1]]"
1863.a.1863.1,"[[0, 1, -5, 0, 4, 2], [1, 1, 0, 1]]"
1863.b.1863.1,"[[0, -1, -1, 0, 1, 0, -1], [1, 1, 0, 1]]"
1870.a.226270.1,"[[-9, 2, -2, 9, -1, 1, -2], [1, 1]]"
1872.b.29952.1,"[[0, 1, -2, 2, -1, 1], []]"
1872.b.479232.1,"[[0, 2, 3, -8, -15, 4], [1]]"
1876.a.7504.1,"[[0, -1, 1, 0, -1, 1], [1, 0, 1]]"
1888.a.241664.1,"[[0, -1, -1, -2, -1, 1], []]"
1888.a.483328.1,"[[56, 64, 1, -16, -3, 1], [0, 0, 0, 1]]"
1888.a.483328.2,"[[-4, 20, -31, 8, 8, 1], []]"
1896.a.728064.1,"[[-3, 11, 0, -8, -2, 1], [0, 1, 0, 1]]"
1899.a.5697.1,"[[2, -3, 0, 0, 1, -1], [1, 0, 0, 1]]"
1900.a.3800.1,"[[0, -1, 0, 1], [1, 1, 0, 1]]"
1904.a.487424.1,"[[1, -1, -2, 0, 0, 1], [0, 1, 0, 1]]"
1908.a.183168.1,"[[0, 2, 4, 3, 2], [1, 0, 0, 1]]"
1911.a.5733.1,"[[-4, -1, -8, 0, -4, 1], [0, 0, 1]]"
1915.a.1915.1,"[[0, -1, 0, 0, -2, 0, 1], [1, 1, 0, 1]]"
1919.a.1919.1,"[[0, 0, 1, 1], [1, 0, 0, 1]]"
1922.a.3844.1,"[[0, 2, -2, -3, 1, 1], [0, 1, 1]]"
1923.a.1923.1,"[[-1, 1, -3, 2, -3, 1, -1], [1, 1, 0, 1]]"
1923.b.17307.1,"[[2, 1, 3, 0, 1], [1, 1, 0, 1]]"
1929.a.1929.1,"[[0, 0, -1, 1, -1, 1], [1, 1, 1]]"
1929.a.52083.1,"[[0, 2, 7, 6, 0, 9], [1, 1, 1]]"
1935.a.52245.2,"[[-1134, 927, -20, -82, -2, 1], [0, 1]]"
1935.a.52245.1,"[[-4, -1, 3, 2, 2], [0, 0, 1, 1]]"
1944.a.34992.1,"[[0, 1, -3, 0, 2, 2], [0, 1]]"
1947.a.578259.1,"[[-1, -8, -16, 1, 2, 1], [0, 1, 1]]"
1952.a.15616.1,"[[0, -1, 0, 1], [0, 1, 0, 1]]"
1952.b.999424.1,"[[1, -2, -3, 4, 3, 2], []]"
1961.a.1961.1,"[[0, -1, -1], [1, 0, 0, 1]]"
1973.a.1973.1,"[[0, -1, 1, 0, 0, -1, 1], [1]]"
1981.a.1981.1,"[[0, 0, -1, -1, 2, 1], [1]]"
1982.a.63424.1,"[[0, 0, 1, -1, 1, -1], [1, 1]]"
1985.a.1985.1,"[[0, -1, 0, 0, 1, 1], [1, 0, 0, 1]]"
1987.a.1987.1,"[[-1, -1, 1, 0, -1], [1, 1, 0, 1]]"
1989.a.1989.1,"[[-1, -1], [1, 1, 1, 1]]"
1991.a.1991.1,"[[0, 1, 2, 0, -1], [1, 0, 0, 1]]"
1995.a.341145.1,"[[-5, 0, -1, 3, 1, 1], [0, 1, 1]]"
1996.a.31936.1,"[[3, 4, 1, 1, 1], [1, 0, 0, 1]]"
1996.b.510976.1,"[[1, 3, 1, 1], [0, 1, 1, 1]]"
2001.a.2001.1,"[[0, 0, 0, 1, 1, 1], [1, 1, 0, 1]]"
2001.b.2001.1,"[[-1, 1, 0, -2, 0, 1], [1, 1, 0, 1]]"
2007.a.6021.1,"[[0, 0, 0, 0, 1, 0, 1], [1, 1, 1]]"
2012.a.16096.1,"[[-16, -13, 16, -4, -2, 1], [1, 0, 0, 1]]"
2016.c.774144.1,"[[-2, -1, -1, 2, 1, 1], []]"
2020.a.646400.1,"[[4, -4, 5, -1, 2], [0, 0, 0, 1]]"
2027.a.2027.1,"[[-1, -2, -3, -2], [1, 0, 1, 1]]"
2031.a.6093.1,"[[0, -1, 0, 0, -1], [1, 1, 1, 1]]"
2036.a.8144.1,"[[0, 0, 0, 1, 0, -2, 1], [1, 1]]"
2043.a.2043.1,"[[0, 1, 2, -4, 0, 1], [0, 1]]"
2054.a.4108.1,"[[0, 0, -2, -1, 2, 1], [1, 1]]"
2056.a.4112.1,"[[0, 1, 1, 1], [0, 1, 0, 1]]"
2056.b.4112.1,"[[0, 1, -1, 3, -1, 2], [0, 1]]"
2056.c.8224.1,"[[0, -3, 3, 19, -15, 2], [1, 1]]"
2056.c.263168.1,"[[0, 0, 1, 1, -1, -2], [1, 1]]"
2059.a.2059.1,"[[0, -1, 0, 4, -4, 1], [1]]"
2060.a.4120.1,"[[0, -1, -1, 0, 1, -1], [1, 1, 0, 1]]"
2061.a.6183.1,"[[0, -1, 0, 0, -1], [1, 0, 0, 1]]"
2063.a.2063.1,"[[0, -1, 1, 1], [1, 0, 1, 1]]"
2069.a.2069.1,"[[-1, 3, 0, -3, 0, 1], [0, 0, 0, 1]]"
2075.a.10375.1,"[[0, -1, 1, 0, -2], [1, 0, 0, 1]]"
2085.a.6255.1,"[[0, 0, -1, 0, 2, 0, -1], [1, 1, 1]]"
2094.a.12564.1,"[[0, 0, 2, -1, -2, 1], [1, 1]]"
2094.b.50256.1,"[[1, 3, 0, -5, -1, 3], [0, 1]]"
2101.a.2101.1,"[[0, 0, 0, 0, -1, 1], [1]]"
2102.a.33632.1,"[[0, 0, 0, 0, 2, 1], [1, 1]]"
2102.b.67264.1,"[[0, 8, -14, 1, 4, 1], [0, 1]]"
2106.a.711828.1,"[[-1, 0, 1, 1, -4, 2], [1, 0, 1]]"
2112.a.33792.1,"[[0, 1, 3, 5, 6, 4], [1]]"
2117.a.2117.1,"[[0, 1, -1, -3, 1, 1], [1, 0, 1]]"
2121.a.400869.1,"[[-1, 0, 8, -4, -2, 1], [0, 1]]"
2123.a.409739.1,"[[0, -1, 0, 4, -5, 1], [0, 1]]"
2127.a.6381.1,"[[0, 2, 4, 0, -6, 3], [1, 0, 1]]"
2139.a.6417.1,"[[-1, -1, 0, 1, 1], [1, 0, 1, 1]]"
2145.a.70785.1,"[[-1, 2, 3, -5, -1, 1], [1, 0, 0, 1]]"
2148.a.77328.1,"[[0, -1, 3, -3, 1], [0, 1, 0, 1]]"
2154.a.17232.1,"[[1, 1, 3, 2, 3, 1, 1], [1, 1, 1]]"
2154.a.465264.1,"[[-1, 18, -1, -9, 0, 1], [0, 1, 1]]"
2165.a.2165.1,"[[-2, 3, 1, -3, 0, 1], [1, 0, 0, 1]]"
2165.a.270625.1,"[[0, 1, 0, -4, 6, 1], [1, 1, 1]]"
2172.a.4344.1,"[[0, 0, -2, 1, -1], [1, 1, 0, 1]]"
2173.a.89093.1,"[[1, 6, 3, 3, 1], [0, 1, 1, 1]]"
2176.b.557056.1,"[[-1, -3, -2, -1, -1], [0, 1, 0, 1]]"
2188.a.140032.1,"[[0, -1, -1, 0, -4, -4], [1, 1, 1]]"
2190.a.219000.1,"[[-26, 105, -69, -7, 7, 1], [0, 1, 1]]"
2192.a.4384.1,"[[-1, -1, -2, -1, -1], [0, 1, 0, 1]]"
2207.a.2207.1,"[[0, -1], [1, 1, 1, 1]]"
2208.b.847872.1,"[[0, 4, 1, -3, -4, 3], []]"
2214.a.816966.1,"[[0, -5, 27, -56, 3, 1], [1, 1]]"
2218.a.70976.1,"[[1, -1, 2, 0, -2], [0, 1, 0, 1]]"
2223.a.6669.1,"[[-1, 0, 0, 4, 3, 3], [1, 0, 1]]"
2225.a.11125.1,"[[0, 2, 4, 0, -3], [1, 0, 0, 1]]"
2230.a.8920.1,"[[1, -3, 2, -1, 1, 1], [0, 1]]"
2234.a.2234.1,"[[0, -1, 1, 0, 1, 1], [1, 0, 0, 1]]"
2238.a.13428.1,"[[0, 0, 1, 0, -1, -1], [1, 1]]"
2243.a.2243.1,"[[0, -1, 0, 3, -3, 1], [1]]"
2251.a.2251.2,"[[0, 1, -1, -2, 1, 1], [0, 1]]"
2251.a.2251.1,"[[-5, -17, -7, -3, 1], [0, 0, 1, 1]]"
2261.a.2261.1,"[[0, 1, 1, 0, 0, 1], [1]]"
2272.a.36352.2,"[[8, 8, 7, 4, 2], [0, 0, 1, 1]]"
2272.a.36352.1,"[[0, 1, -16, 56, 31, 4], [0, 1]]"
2288.a.805376.1,"[[0, 0, -1, -1, -1, -4], [1, 1]]"
2290.a.4580.1,"[[-2, -1, 4, 0, -2], [1, 0, 0, 1]]"
2295.a.11475.1,"[[0, -1, 0, 1, -2, 5], [1, 0, 1]]"
2298.a.20682.1,"[[63, -111, 0, 40, 12, 1], [0, 1]]"
2298.a.165456.1,"[[1, 1, 2, 2, 1, 1], [1, 1]]"
2299.a.2299.1,"[[0, 0, 2, 2, 2, 1], [1, 1, 0, 1]]"
2300.a.4600.1,"[[1, -3, 6, -6, 3, 1], [0, 1, 1]]"
2301.a.6903.1,"[[0, -1, 0, 1, 1, 1], [1, 0, 0, 1]]"
2304.a.13824.2,"[[2, 1, 3, 1, 1], [1, 1, 1, 1]]"
2304.a.13824.1,"[[0, 0, -2, -1, 3, 2], [1]]"
2305.a.2305.1,"[[0, -1, 0, 0, 1, 1], [1, 1, 0, 1]]"
2305.b.57625.1,"[[6, 2, 5, 0, 1], [1, 1, 0, 1]]"
2309.a.2309.1,"[[0, -1, 0, 0, -2, 1], [1, 1, 1]]"
2312.a.4624.1,"[[0, 1, 1, -1, -2, 0, 1], [0, 1]]"
2312.a.18496.1,"[[0, 0, 0, 0, -1, 0, 1], [1, 1]]"
2315.a.2315.1,"[[0, -1, -9, 16, -8, 1], [0, 1]]"
2320.a.11600.1,"[[0, 0, 0, 0, 0, 0, -1], [1, 1]]"
2320.b.185600.1,"[[1, -1, 0, -1, -1], [0, 1, 0, 1]]"
2326.a.4652.1,"[[0, 0, -1, 0, 1, -1], [1, 1]]"
2335.a.2335.1,"[[0, 0, 0, -1, -1, -1], [1, 1]]"
2336.a.37376.1,"[[0, 1, 0, -3, -1], [1, 1, 1, 1]]"
2341.a.2341.1,"[[-1, -1, 0, 2, 2, 1], [1]]"
2345.a.2345.1,"[[0, 1, -1, -3, 0, 1], [1, 0, 0, 1]]"
2345.a.293125.1,"[[0, -3, 6, 0, -8, -25], [1, 1, 1]]"
2348.a.2348.1,"[[0, -1, -1, 0, 0, -1], [1, 1, 1]]"
2348.b.37568.1,"[[0, 0, -1, 2, -4, 1], [1, 1, 0, 1]]"
2348.c.601088.1,"[[-4, 7, -7, 4, -1], [1, 0, 0, 1]]"
2349.a.2349.1,"[[0, -1, 0, 2, 1], [1, 0, 0, 1]]"
2357.a.2357.1,"[[0, -1, -1, 1, 0, -1], [1, 0, 0, 1]]"
2363.a.2363.1,"[[0, 1, 0, 2, 3, 1], [0, 1]]"
2371.a.2371.1,"[[-2, 2, 1, -3, 0, 1], [1, 1]]"
2386.a.2386.1,"[[0, 0, 1, 1, 2, 1, 1], [1, 1]]"
